#abs/rel,interp,NumPerPoint,NumSegs,,
abs,lin,2,1,Hz,dB
#segment0,,,,,
#type,numPoints,,,,
na,293,,,,
80000000,-7.10655416,,,,
90000000,-8.13525968,,,,
100000000,-9.0439652,,,,
110000000,-9.87267072,,,,
120000000,-10.62137624,,,,
130000000,-11.32008176,,,,
140000000,-11.95878728,,,,
150000000,-12.5574928,,,,
160000000,-13.11619832,,,,
170000000,-13.64490384,,,,
180000000,-14.14360936,,,,
190000000,-14.60231488,,,,
200000000,-15.0510204,,,,
210000000,-15.47972592,,,,
220000000,-15.87843144,,,,
230000000,-16.26713696,,,,
240000000,-16.63584248,,,,
250000000,-16.984548,,,,
260000000,-17.32325352,,,,
270000000,-17.65195904,,,,
280000000,-17.96066456,,,,
290000000,-18.26937008,,,,
300000000,-18.5580756,,,,
310000000,-18.84678112,,,,
320000000,-19.11548664,,,,
330000000,-19.38419216,,,,
340000000,-19.64289768,,,,
350000000,-19.8916032,,,,
360000000,-20.14030872,,,,
370000000,-20.37901424,,,,
380000000,-20.60771976,,,,
390000000,-20.82642528,,,,
400000000,-21.0451308,,,,
410000000,-21.25383632,,,,
420000000,-21.47254184,,,,
430000000,-21.67124736,,,,
440000000,-21.85995288,,,,
450000000,-22.0586584,,,,
460000000,-22.24736392,,,,
470000000,-22.43606944,,,,
480000000,-22.61477496,,,,
490000000,-22.79348048,,,,
500000000,-22.972186,,,,
510000000,-23.14089152,,,,
520000000,-23.30959704,,,,
530000000,-23.46830256,,,,
540000000,-23.63700808,,,,
550000000,-23.7957136,,,,
560000000,-23.94441912,,,,
570000000,-24.10312464,,,,
580000000,-24.24183016,,,,
590000000,-24.40053568,,,,
600000000,-24.5392412,,,,
610000000,-24.68794672,,,,
620000000,-24.82665224,,,,
630000000,-24.96535776,,,,
640000000,-25.10406328,,,,
650000000,-25.2327688,,,,
660000000,-25.36147432,,,,
670000000,-25.49017984,,,,
680000000,-25.61888536,,,,
690000000,-25.74759088,,,,
700000000,-25.8762964,,,,
710000000,-25.99500192,,,,
720000000,-26.10370744,,,,
730000000,-26.22241296,,,,
740000000,-26.35111848,,,,
750000000,-26.469824,,,,
760000000,-26.57852952,,,,
770000000,-26.68723504,,,,
780000000,-26.80594056,,,,
790000000,-26.91464608,,,,
800000000,-27.0133516,,,,
810000000,-27.12205712,,,,
820000000,-27.22076264,,,,
830000000,-27.32946816,,,,
840000000,-27.43817368,,,,
850000000,-27.5368792,,,,
